country,product,kcal/country/year,kg_proteins/country/year,kg/country/year,energy_weight_ratio,prot_weight_ratio
Afrique du Sud,Légumineuses Autres,38526480000.0,2696853.600000001,12138480.0,3173.913043478261,0.22217391304347833
Afrique du Sud,Noix,38526480000.0,1155794.4,17416080.0,2212.121212121212,0.06636363636363636
Afrique du Sud,Soja,231158880000.0,25427476.8,67025520.0,3448.818897637795,0.3793700787401575
Afrique du Sud,Arachides Decortiquees,211895640000.0,9246355.2,37470960.0,5654.929577464789,0.24676056338028168
Afrique du Sud,Coco (Incl Coprah),38526480000.0,385264.8000000001,24276960.0,1586.9565217391305,0.01586956521739131
Afrique du Sud,Tomates,96316200000.0,5201074.8,506121840.0,190.3023983315954,0.010276329509906153
Afrique du Sud,Oignons,173369160000.0,4815810.0,442262880.0,392.00477326968974,0.010889021479713604
Afrique du Sud,"Légumes, Autres",443054520000.0,17914813.200000007,1323622080.0,334.72886762360446,0.013534688995215316
Afrique du Sud,"Oranges, Mandarines",96316200000.0,1541059.2000000004,386320320.0,249.3169398907104,0.003989071038251368
Afrique du Sud,Pamplemousse,38526480000.0,577897.2,134051040.0,287.40157480314963,0.004311023622047243
Afrique du Sud,Bananes,231158880000.0,3660015.6000000006,371543040.0,622.1590909090909,0.009850852272727275
Afrique du Sud,Bananes plantains,57789720000.0,770529.6000000002,85497120.0,675.925925925926,0.009012345679012348
Afrique du Sud,Pommes,154105920000.0,1155794.4,582647040.0,264.4927536231884,0.0019836956521739127
Afrique du Sud,Ananas,19263240000.0,192632.4,42748560.0,450.61728395061726,0.004506172839506173
Afrique du Sud,Raisin,77052960000.0,770529.6000000002,116107200.0,663.6363636363636,0.006636363636363638
Afrique du Sud,"Fruits, Autres",115579440000.0,1541059.2000000004,258074640.0,447.85276073619633,0.005971370143149286
Afrique du Sud,Café,19263240000.0,1155794.4,49081680.0,392.4731182795699,0.023548387096774193
Afrique du Sud,Feve de Cacao,115579440000.0,1926324.0000000002,24804720.0,4659.574468085107,0.07765957446808512
Afrique du Sud,Piments,77052960000.0,3082118.400000001,22165920.0,3476.190476190476,0.1390476190476191
Afrique du Sud,"Épices, Autres",19263240000.0,963162.0000000001,6860880.0,2807.6923076923076,0.1403846153846154
Afrique du Sud,Bière,1579585680000.0,15988489.2,3214586160.0,491.38072566081104,0.004973731735347233
Albanie,Viande de Bovins,116972645000.0,10840237.2,71392500.0,1638.4444444444443,0.15184
Albanie,Viande d'Ovins/Caprins,98442325000.0,6555100.7,48610360.0,2025.130548302872,0.13484986945169714
Albanie,Viande de Suides,96126035000.0,3161735.85,34522240.0,2784.466911764706,0.09158547794117647
Albanie,Viande de Volailles,77595715000.0,5721236.300000002,41978790.0,1848.4504913076341,0.13628873771730918
Albanie,Abats Comestible,12739595000.0,1853032.0000000002,11105500.0,1147.142857142857,0.16685714285714287
Albanie,"Beurre, Ghee",26637335000.0,34744.35,3775870.0,7054.621848739495,0.009201680672268907
